2025/10/07 23:30:01.273037 [INFO] Log Publish not set, skipping...
2025/10/07 23:50:01.409403 [INFO] Log Publish not set, skipping...
2025/10/08 00:10:02.028101 [INFO] Log Publish not set, skipping...
2025/10/08 00:30:01.050250 [INFO] Log Publish not set, skipping...
2025/10/08 00:50:01.077557 [INFO] Log Publish not set, skipping...
2025/10/08 01:10:01.222329 [INFO] Log Publish not set, skipping...
2025/10/08 01:30:01.254818 [INFO] Log Publish not set, skipping...
2025/10/08 01:50:01.292048 [INFO] Log Publish not set, skipping...
2025/10/08 02:10:01.682760 [INFO] Log Publish not set, skipping...
2025/10/08 02:30:01.736319 [INFO] Log Publish not set, skipping...
2025/10/08 02:50:01.881105 [INFO] Log Publish not set, skipping...
2025/10/08 03:10:01.323213 [INFO] Log Publish not set, skipping...
2025/10/08 03:30:01.379605 [INFO] Log Publish not set, skipping...
2025/10/08 03:50:01.437819 [INFO] Log Publish not set, skipping...
2025/10/08 04:10:01.670086 [INFO] Log Publish not set, skipping...
2025/10/08 04:30:01.713445 [INFO] Log Publish not set, skipping...
2025/10/08 04:50:01.763293 [INFO] Log Publish not set, skipping...
2025/10/08 05:10:01.123289 [INFO] Log Publish not set, skipping...
2025/10/08 05:30:01.157308 [INFO] Log Publish not set, skipping...
2025/10/08 05:50:01.188527 [INFO] Log Publish not set, skipping...
2025/10/08 06:10:01.581969 [INFO] Log Publish not set, skipping...
2025/10/08 06:30:01.643151 [INFO] Log Publish not set, skipping...
2025/10/08 06:50:01.689353 [INFO] Log Publish not set, skipping...
2025/10/08 07:10:01.025020 [INFO] Log Publish not set, skipping...
2025/10/08 07:30:01.040813 [INFO] Log Publish not set, skipping...
2025/10/08 07:50:01.057998 [INFO] Log Publish not set, skipping...
2025/10/08 08:10:01.252875 [INFO] Log Publish not set, skipping...
2025/10/08 08:30:01.313812 [INFO] Log Publish not set, skipping...
2025/10/08 08:50:01.338177 [INFO] Log Publish not set, skipping...
2025/10/08 09:10:01.666638 [INFO] Log Publish not set, skipping...
2025/10/08 09:30:01.719671 [INFO] Log Publish not set, skipping...
2025/10/08 09:50:01.766735 [INFO] Log Publish not set, skipping...
2025/10/08 10:10:01.039339 [INFO] Log Publish not set, skipping...
2025/10/08 10:30:01.057063 [INFO] Log Publish not set, skipping...
2025/10/08 10:50:01.071813 [INFO] Log Publish not set, skipping...
2025/10/08 11:10:01.205865 [INFO] Log Publish not set, skipping...
2025/10/08 11:30:01.226739 [INFO] Log Publish not set, skipping...
2025/10/08 11:50:01.254726 [INFO] Log Publish not set, skipping...
2025/10/08 12:10:01.600052 [INFO] Log Publish not set, skipping...
2025/10/08 12:30:01.649182 [INFO] Log Publish not set, skipping...
2025/10/08 12:50:01.680575 [INFO] Log Publish not set, skipping...
2025/10/08 13:10:01.051527 [INFO] Log Publish not set, skipping...
2025/10/08 13:30:01.066378 [INFO] Log Publish not set, skipping...
2025/10/08 13:50:01.082434 [INFO] Log Publish not set, skipping...
2025/10/08 14:10:01.242760 [INFO] Log Publish not set, skipping...
2025/10/08 14:30:01.266666 [INFO] Log Publish not set, skipping...
2025/10/08 14:50:01.290840 [INFO] Log Publish not set, skipping...
2025/10/08 15:10:01.786804 [INFO] Log Publish not set, skipping...
2025/10/08 15:30:01.832469 [INFO] Log Publish not set, skipping...
2025/10/08 15:50:01.871857 [INFO] Log Publish not set, skipping...
2025/10/08 16:10:01.274006 [INFO] Log Publish not set, skipping...
